STATE,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP
4,40225,0,1,5,49,2,1,1,0,741,0,1,7,2,7,2,7,3,3,2,3b,740,0
4,40225,0,2,5,53,2,1,1,0,741,0,1,7,2,7,2,7,3,3,2,3b,740,0
4,40237,0,1,5,25,1,9,9,0,900,0,9,7,9,7,8,7,8,8,8,8,990,0
4,40241,0,1,5,74,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40250,0,1,5,17,2,0,1,0,410,0,3,7,5,7,8,7,8,8,8,8,400,0
4,40250,0,2,5,7,1,0,1,0,410,0,3,7,5,7,8,7,8,8,8,8,400,0
4,40250,0,3,5,998,1,0,1,0,410,0,3,7,5,7,8,7,8,8,8,8,400,0
4,40250,0,4,5,998,2,0,1,0,410,0,3,7,5,7,8,7,8,8,8,8,400,0
4,40250,0,5,5,998,8,0,1,0,410,0,3,7,5,7,8,7,8,8,8,8,400,0
4,40255,0,1,5,53,2,0,0,0,140,0,3,7,3,7,8,7,8,8,8,8,100,0
4,40255,0,2,5,38,1,0,0,0,140,0,3,7,3,7,8,7,8,8,8,8,100,0
4,40255,0,3,5,46,1,0,0,0,140,0,3,7,3,7,8,7,8,8,8,8,100,0
4,40255,0,4,5,52,1,0,0,0,140,0,3,7,3,7,8,7,8,8,8,8,100,0
4,40265,0,1,5,64,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40268,0,1,5,65,1,0,1,0,760,0,2,7,3,7,2,7,3,3,1,2b,750,0
4,40270,0,1,5,22,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40272,0,1,5,46,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40275,0,1,5,47,1,0,1,0,770,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40288,0,1,5,34,1,0,0,0,240,0,3,7,3,7,8,7,8,8,8,8,100,0
4,40303,0,1,5,61,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40308,0,1,5,39,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40316,0,1,5,27,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40317,0,1,5,65,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40323,0,1,5,69,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40335,0,1,5,61,1,0,1,0,900,0,9,7,9,7,8,7,8,8,8,8,990,0
4,40355,0,1,5,52,1,0,1,0,760,0,2,7,3,7,9,7,4,3,1,2c,750,0
4,40356,0,1,5,39,2,1,1,0,140,0,2,7,5,7,3,7,4,3,2,4b,100,0
4,40360,0,1,5,19,2,0,1,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0
4,40361,0,1,5,54,1,0,1,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
4,40366,0,1,5,39,2,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
4,40368,0,1,5,51,1,1,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40369,0,1,5,47,1,0,0,0,680,0,3,7,4,7,8,7,8,8,8,8,990,0
4,40377,0,1,5,57,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40386,0,1,5,85,2,0,1,0,770,0,1,7,2,7,1,7,4,3,2,3a,750,0
4,40387,0,1,5,18,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
4,40389,0,1,5,58,2,0,1,0,794,0,1,7,2,7,1,7,4,2,1,5a,790,0
4,40396,0,1,5,82,1,1,1,0,794,0,1,7,2,7,3,7,4,2,1,5b,790,0
4,40404,0,1,5,26,1,1,1,0,620,0,1,7,2,7,1,7,2,3,2,3b,600,0
4,40407,0,1,5,29,1,1,1,0,690,0,1,7,9,7,9,7,9,8,8,99,990,0
4,40408,0,1,5,26,1,1,1,0,760,0,2,7,3,7,1,7,4,3,1,2a,750,0
4,40408,0,2,5,21,1,1,1,0,760,0,2,7,3,7,1,7,4,3,1,2a,750,0
4,40409,0,1,5,49,1,0,1,0,150,0,4,7,8,7,8,7,8,8,8,8,100,0
4,40411,0,1,5,43,2,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
4,40413,0,1,5,62,1,0,1,0,900,0,9,7,9,7,8,7,8,8,8,8,990,0
4,40414,0,1,5,47,2,0,1,0,770,0,1,7,2,7,2,7,3,3,2,3b,750,0
4,40415,0,1,5,29,1,1,1,0,760,0,2,7,3,7,3,7,4,3,1,2b,750,0
4,40422,0,1,5,52,2,1,1,0,140,0,2,7,9,7,9,7,1,3,2,4c,100,0
4,40426,0,1,5,52,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40431,0,1,5,30,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40432,0,1,5,70,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40433,0,1,5,82,1,1,1,0,760,0,1,7,2,7,4,7,3,3,2,3a,750,0
4,40436,0,1,5,64,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40440,0,1,5,25,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40441,0,1,5,50,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40443,0,1,5,48,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40454,0,1,5,57,1,0,1,0,680,0,3,7,5,7,8,7,8,8,8,8,990,0
4,40456,0,1,5,22,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
4,40458,0,1,8,44,1,1,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
